,aVMPFC,mVMPFC,pVMPFC
Decision Making,0.010359869,0.635768811,0.35387132
Food,0.203861697,0.484059273,0.31207903
Value,0.251154977,0.371692566,0.377152457
Theory Mind,0.359575275,0.317633675,0.32279105
Person,0.36148374,0.316361789,0.322154472
Social Cognition,0.350383632,0.322155916,0.327460453
Social,0.346071173,0.31876443,0.335164398
Autobiographical,0.327302221,0.336348889,0.336348889
Affective,0.288971963,0.340934579,0.370093458
Depression,0.254106956,0.355819643,0.390073401
Fear,0.242756938,0.319914608,0.437328454
Emotion,0.310131945,0.326352742,0.363515313
Motivation,0.008576329,0.489708405,0.501715266
Reward,0.082910321,0.474450085,0.442639594
Choice,0.084299262,0.573234984,0.342465753
