term,# studies,pAgF,pFgA,pA_given_pF=0.50,pFgA_given_pF=0.50,uniformity-test_z,association-test_z,uniformity-test_z_FDR_0.01,association-test_z_FDR_0.01
autobiographical,143,0.034035132810017965,0.031210453849696836,0.022388090530233943,0.6656180610818707,-1.4798439825937767e-15,2.4408555726946277,0.3846566885699904,1.7793232387756694
reward,922,0.02132019856073365,0.11604102261468685,0.01579183529889006,0.6301098614031069,5.80330973566187e-17,2.7391806553733216,0.05978312428445371,2.1952391805575955
social,1302,0.018637836006803056,0.15156021627045968,0.014423524171370643,0.6250530935961782,-2.0311584074816544e-16,2.543731340562716,0.14439880840078892,1.803869935432061
emotion,1037,0.01745055213358911,0.12192985792822394,0.013959805687939836,0.6203035371626336,-5.80330973566187e-17,2.044528097463012,0.11832540173060024,0.9122177713238764
value,470,0.022621181019408517,0.0591834756140441,0.016600091388062368,0.5941806941987182,-3.481985841397122e-16,2.0629069961489037,0.4134035123515071,1.5126448189169277
self,1206,0.017439389745165613,0.1230743965978474,0.01390992481814166,0.589228524939776,2.6114893810478416e-16,1.886987132921828,0.10833998783445996,1.0173660809044345
decision making,509,0.018947861414397908,0.056297468971876014,0.014813932043200459,0.5700340766619632,3.1918203546140284e-16,1.520207039541312,0.479831923546476,0.5908747556801464
affective,748,0.017265711797735943,0.07743603061335125,0.01394651317239538,0.5679198500073107,-4.642647788529496e-16,1.4882814642068585,0.27279932474293594,0.5471065110392286
person,358,0.01806445541420346,0.040948650592110086,0.01442805955827384,0.5668164612833112,-9.575461063842086e-16,1.1890924850952893,0.5035379259921116,0.2217981077559643
fear,363,0.01944194837136505,0.0432160183054071,0.01509766005234546,0.5633018313037482,-1.8860756640901078e-16,1.4371468156580562,0.4140009257744239,0.6633357710513043
theory mind,181,0.02404823748727364,0.02508706774267102,0.017427146492545828,0.5630882172268828,-1.3057446905239208e-16,1.4865045407688406,0.33057900020195874,0.679917492764285
food,171,0.0213753287421378,0.02304851740261313,0.016111448782488925,0.5608426752823384,-1.886075664090108e-15,1.2070737160287413,0.20750642828123725,0.3271151593472888
