participant_id	n_clusters	silhouette_score	davies_bouldin_score	calinski_harabasz_score
sub-002	2	0.15024279	2.271610685952597	311.30980072262395
sub-002	3	0.14626938	2.08473302763306	267.7960685212251
sub-002	4	0.128315	2.084622447283918	241.88730859494527
sub-002	5	0.10673376	2.0463444080741984	219.11042104412377
sub-002	6	0.11271707	2.03324257905596	200.5722954227393
sub-003	2	0.17683291	2.025900088875577	408.2721060734895
sub-003	3	0.13086769	2.150683946899139	296.72458694667245
sub-003	4	0.13457909	2.4459153788331616	247.30816282518975
sub-003	5	0.13202775	2.301471957011105	216.80534449204248
sub-003	6	0.097561195	2.2554559165122328	197.8717256303216
sub-004	2	0.15813519	2.2351432686037884	327.1444705334735
sub-004	3	0.12485152	2.1956205677826097	267.4572576928771
sub-004	4	0.12804238	1.99339533060576	240.57587656083905
sub-004	5	0.12167196	1.9773638808564733	226.9230889743754
sub-004	6	0.12798521	1.9753446344899173	210.22969083269135
sub-007	2	0.14799026	2.351080595411581	302.44122163023087
sub-007	3	0.1420789	2.252059703537463	267.6600012277253
sub-007	4	0.1507322	2.066589942181368	240.9592934011566
sub-007	5	0.13982867	2.1752655620460897	210.0453616861269
sub-007	6	0.12004484	2.176113101123496	189.70655099845249
sub-008	2	0.16837905	2.184367349167992	337.9521296338368
sub-008	3	0.12833127	2.200503287846495	264.69400992463926
sub-008	4	0.12638831	2.159705984279876	239.07667452510856
sub-008	5	0.1358982	2.066093147758771	213.9408041645543
sub-008	6	0.116894886	2.0738069355836948	196.9445972318059
sub-009	2	0.18803856	1.8958769562890088	404.07165508684005
sub-009	3	0.15784146	2.075248644817873	346.4386925267208
sub-009	4	0.13797687	2.2440296455011643	283.2205043543687
sub-009	5	0.12078675	2.3406305312368865	239.23265440000992
sub-009	6	0.11486722	2.4290537658482543	212.0787097190487
sub-010	2	0.17077476	2.102533537816448	366.25987131029086
sub-010	3	0.12801412	2.5271162339091595	257.39910375661736
sub-010	4	0.1113141	2.7125234047204745	211.5995630037584
sub-010	5	0.105795145	2.520506109356534	190.0664840972332
sub-010	6	0.07647568	2.4136696220088645	169.04067963035322
sub-011	2	0.20055102	2.015466122632724	384.8641033281597
sub-011	3	0.196277	1.709738245802081	359.50056546685613
sub-011	4	0.13448104	1.8941863394208216	307.1947858540041
sub-011	5	0.103082046	2.0933669996527806	267.9187053413447
sub-011	6	0.102978975	2.080734247535988	239.8442101381058
